着順,枠,馬番,馬名,性齢,負担重量,騎手,推定上り,馬体重,増減,調教師,人気,降水量,気温,風速,風向,レース,距離,日時
1,1,1,オーロラテソーロ,牡2,55,大野 拓弥,36.7,484,0,畠山 吉宏,2,0,25.5,1.9,南,1,1400,2019/10/5
2,5,7,ダブリナーズ,牡2,52,▲岩田 望来,37.7,464,-4,藤原 英昭,4,0,25.5,1.9,南,1,1400,2019/10/5
3,7,10,ニシノホライゾン,牡2,55,内田 博幸,38.2,494,-6,的場 均,1,0,25.5,1.9,南,1,1400,2019/10/5
4,7,11,シゲルタイタン,牡2,55,三浦 皇成,37.7,470,-8,伊藤 圭三,5,0,25.5,1.9,南,1,1400,2019/10/5
5,4,5,ボマライン,牡2,55,石橋 脩,39.5,458,-6,田村 康仁,3,0,25.5,1.9,南,1,1400,2019/10/5
6,5,6,ディーカラーズ,牡2,53,△木幡 育也,39.1,480,-12,高橋 祥泰,6,0,25.5,1.9,南,1,1400,2019/10/5
7,6,8,タマサイ,牝2,54,杉原 誠人,38.2,422,-4,尾関 知人,10,0,25.5,1.9,南,1,1400,2019/10/5
8,6,9,ショウリオウ,牡2,55,菅原 隆一,38.7,440,0,武市 康男,13,0,25.5,1.9,南,1,1400,2019/10/5
9,8,12,グラスピエーナ,牝2,54,木幡 巧也,38.7,450,-4,田中 清隆,12,0,25.5,1.9,南,1,1400,2019/10/5
10,4,4,セイカタチバナ,牡2,55,石川 裕紀人,40.2,460,2,南田 美知雄,8,0,25.5,1.9,南,1,1400,2019/10/5
11,2,2,キャストロペトラ,牡2,55,吉田 豊,40.4,450,-4,粕谷 昌央,9,0,25.5,1.9,南,1,1400,2019/10/5
12,8,13,トレンディー,牡2,54,☆野中 悠太郎,39.3,448,-8,小西 一男,11,0,25.5,1.9,南,1,1400,2019/10/5
13,3,3,ニシノコードブルー,牡2,55,戸崎 圭太,39.7,448,4,小桧山 悟,7,0,25.5,1.9,南,1,1400,2019/10/5
